adm_cd,adm_nm,sgis_adm_cd,sgis_adm_nm
1135061100,하계1동,11110580,하계1동
1135061200,하계2동,11110590,하계2동
1135061900,중계본동,11110600,중계본동
1135062100,중계1동,11110610,중계1동
1135062400,중계4동,11110640,중계4동
1135062500,중계2.3동,11110780,중계2·3동
1135063000,상계1동,11110650,상계1동
1135064000,상계2동,11110660,상계2동
1135066500,상계3.4동,11110760,상계3·4동
1135067000,상계5동,11110690,상계5동
1135069500,상계6.7동,11110770,상계6·7동
1135070000,상계8동,11110720,상계8동
1135071000,상계9동,11110730,상계9동
1135072000,상계10동,11110740,상계10동
1138051000,녹번동,11120510,녹번동
1138052000,불광제1동,11120520,불광1동
1138053000,불광제2동,11120720,불광2동
1138055100,갈현제1동,11120550,갈현1동
1138055200,갈현제2동,11120560,갈현2동
1138056000,구산동,11120570,구산동
1138057000,대조동,11120580,대조동
1138058000,응암제1동,11120590,응암1동
1138059000,응암제2동,11120600,응암2동
1138060000,응암제3동,11120730,응암3동
1138062500,역촌동,11120740,역촌동
1138063100,신사제1동,11120650,신사1동
1138063200,신사제2동,11120660,신사2동
1138064000,증산동,11120670,증산동
1138065000,수색동,11120680,수색동
1138069000,진관동,11120710,진관동
1141052000,천연동,11130520,천연동
1141055500,북아현동,11130740,북아현동
1141056500,충현동,11130730,충현동
1141058500,신촌동,11130750,신촌동
1141061500,연희동,11130760,연희동
1141062000,홍제제1동,11130620,홍제1동
1141064000,홍제제3동,11130640,홍제3동
1141065500,홍제제2동,11130650,홍제2동
1141066000,홍은제1동,11130660,홍은1동
1141068500,홍은제2동,11130680,홍은2동
1141069000,남가좌제1동,11130690,남가좌1동
1141070000,남가좌제2동,11130700,남가좌2동
1141071000,북가좌제1동,11130710,북가좌1동
1141072000,북가좌제2동,11130720,북가좌2동
1144055500,아현동,11140780,아현동
1144056500,공덕동,11140770,공덕동
1144058500,도화동,11140750,도화동
1144059000,용강동,11140590,용강동
1144060000,대흥동,11140600,대흥동
1144061000,염리동,11140610,염리동
1144063000,신수동,11140630,신수동
1144065500,서강동,11140760,서강동
1144066000,서교동,11140660,서교동
1144068000,합정동,11140680,합정동
1144069000,망원제1동,11140690,망원1동
1144070000,망원제2동,11140700,망원2동
1144071000,연남동,11140710,연남동
1144072000,성산제1동,11140720,성산1동
1144073000,성산제2동,11140730,성산2동
1144074000,상암동,11140740,상암동
1147051000,목1동,11150510,목1동
1147052000,목2동,11150520,목2동
1147053000,목3동,11150530,목3동
1147054000,목4동,11150540,목4동
1147055000,목5동,11150710,목5동
1147056000,신월1동,11150570,신월1동
1147057000,신월2동,11150580,신월2동
1147058000,신월3동,11150590,신월3동
1147059000,신월4동,11150600,신월4동
1147060000,신월5동,11150610,신월5동
1147061000,신월6동,11150620,신월6동
1147061100,신월7동,11150630,신월7동
1147062000,신정1동,11150640,신정1동
1147063000,신정2동,11150650,신정2동
1147064000,신정3동,11150660,신정3동
1147065000,신정4동,11150720,신정4동
1147067000,신정6동,11150690,신정6동
1147068000,신정7동,11150700,신정7동
1150051000,염창동,11160510,염창동
1150052000,등촌제1동,11160520,등촌1동
1150053000,등촌제2동,11160530,등촌2동
1150053500,등촌제3동,11160540,등촌3동
1150054000,화곡제1동,11160730,화곡1동
1150055000,화곡제2동,11160570,화곡2동
1150056000,화곡제3동,11160580,화곡3동
1150057000,화곡제4동,11160590,화곡4동
1150059000,화곡본동,11160550,화곡본동
1150059100,화곡제6동,11160610,화곡6동
1150059300,화곡제8동,11160630,화곡8동
1150060300,가양제1동,11160751,가양1동
1150060400,가양제2동,11160650,가양2동
1150060500,가양제3동,11160660,가양3동
1150061100,발산제1동,11160670,발산1동
1150061500,우장산동,11160740,우장산동
1150062000,공항동,11160690,공항동
1150063000,방화제1동,11160700,방화1동
1150064000,방화제2동,11160710,방화2동
1150064100,방화제3동,11160761,방화3동
1153051000,신도림동,11170510,신도림동
1153052000,구로제1동,11170520,구로1동
1153053000,구로제2동,11170710,구로2동
1153054000,구로제3동,11170540,구로3동
1153055000,구로제4동,11170550,구로4동
1153056000,구로제5동,11170560,구로5동
1153059500,가리봉동,11170700,가리봉동
1153072000,고척제1동,11170610,고척1동
1153073000,고척제2동,11170620,고척2동
1153074000,개봉제1동,11170720,개봉1동
1153075000,개봉제2동,11170640,개봉2동
1153076000,개봉제3동,11170650,개봉3동
1153077000,오류제1동,11170670,오류1동
1153078000,오류제2동,11170730,오류2동
1153079000,수궁동,11170690,수궁동
1153080000,항동,11170740,항동
1154551000,가산동,11180510,가산동
1154561000,독산제1동,11180520,독산1동
1154562000,독산제2동,11180530,독산2동
1154563000,독산제3동,11180540,독산3동
1154564000,독산제4동,11180550,독산4동
1154567000,시흥제1동,11180570,시흥1동
1154568000,시흥제2동,11180580,시흥2동
1154569000,시흥제3동,11180590,시흥3동
1154570000,시흥제4동,11180600,시흥4동
1154571000,시흥제5동,11180610,시흥5동
1156051500,영등포본동,11190730,영등포본동
1156053500,영등포동,11190740,영등포동
1156054000,여의동,11190540,여의동
1156055000,당산제1동,11190550,당산1동
1156056000,당산제2동,11190560,당산2동
1156058500,도림동,11190750,도림동
1156060500,문래동,11190760,문래동
1156061000,양평제1동,11190610,양평1동
1156062000,양평제2동,11190620,양평2동
1156063000,신길제1동,11190630,신길1동
1156065000,신길제3동,11190650,신길3동
1156066000,신길제4동,11190660,신길4동
1156067000,신길제5동,11190670,신길5동
1156068000,신길제6동,11190680,신길6동
1156069000,신길제7동,11190690,신길7동
1156070000,대림제1동,11190700,대림1동
1156071000,대림제2동,11190710,대림2동
1156072000,대림제3동,11190720,대림3동
1159051000,노량진제1동,11200720,노량진1동
1159052000,노량진제2동,11200520,노량진2동
1159053000,상도제1동,11200530,상도1동
1159054000,상도제2동,11200540,상도2동
1159055000,상도제3동,11200550,상도3동
1159056000,상도제4동,11200560,상도4동
1159060500,흑석동,11200710,흑석동
1159062000,사당제1동,11200630,사당1동
1159063000,사당제2동,11200730,사당2동
1159064000,사당제3동,11200650,사당3동
1159065000,사당제4동,11200660,사당4동
1159065100,사당제5동,11200670,사당5동
